6;95;8;28.07.2017 8:17:47;29.07.2017 7:53:53;179,46;220,12;40,66;0
6;92;5;28.07.2017 8:17:47;29.07.2017 7:53:53;311,57;463,95;152,38;0
6;92;6;28.07.2017 8:17:47;29.07.2017 7:53:53;145,28;145,28;0;0
6;92;7;28.07.2017 8:17:47;29.07.2017 7:53:53;576,23;986,2;409,97;0
6;92;8;28.07.2017 8:17:47;29.07.2017 7:53:53;144,69;213,57;68,88;0
6;92;9;28.07.2017 8:17:47;29.07.2017 7:53:53;49,87;49,87;0;0
6;92;10;28.07.2017 8:17:47;29.07.2017 7:53:53;27,98;27,98;0;0
6;60;7;28.07.2017 8:17:47;29.07.2017 7:53:53;5,04;46,13;41,09;0
6;60;8;28.07.2017 8:17:47;29.07.2017 7:53:53;31,21;115,99;84,78;0
6;60;9;28.07.2017 8:17:47;29.07.2017 7:53:53;25;25;0;0
6;60;10;28.07.2017 8:17:47;29.07.2017 7:53:53;5;5;0;0
6;50;5;28.07.2017 8:17:47;29.07.2017 7:53:53;10;10;0;0
6;50;6;28.07.2017 8:17:47;29.07.2017 7:53:53;49,46;49,46;0;0
6;22;1;28.07.2017 8:17:47;29.07.2017 7:53:53;399,39;640,02;240,63;0
6;22;2;28.07.2017 8:17:47;29.07.2017 7:53:53;234,53;334,19;99,66;0
6;22;3;28.07.2017 8:17:47;29.07.2017 7:53:53;894,13;1464,53;570,4;0
6;22;4;28.07.2017 8:17:47;29.07.2017 7:53:53;0;0;0;0
7;95;5;29.07.2017 7:54:21;30.07.2017 7:45:20;119,66;207,76;88,1;0
7;95;6;29.07.2017 7:54:21;30.07.2017 7:45:20;90,16;90,16;0;0
7;95;7;29.07.2017 7:54:21;30.07.2017 7:45:20;309,22;371,15;61,93;0
7;95;8;29.07.2017 7:54:21;30.07.2017 7:45:20;220,12;321,03;100,91;0
7;92;5;29.07.2017 7:54:21;30.07.2017 7:45:20;463,95;656,95;193;0
7;92;6;29.07.2017 7:54:21;30.07.2017 7:45:20;145,28;214,95;69,67;0
7;92;7;29.07.2017 7:54:21;30.07.2017 7:45:20;986,2;1202,42;216,22;0
7;92;8;29.07.2017 7:54:21;30.07.2017 7:45:20;213,57;274,67;61,1;0
7;92;9;29.07.2017 7:54:21;30.07.2017 7:45:20;49,87;55,5;5,63;0
7;92;10;29.07.2017 7:54:21;30.07.2017 7:45:20;27,98;42,49;14,51;0
